"","parameter","group","coef","level","inv_metric","mean","step_size","Model"
"179","z_1[1,65]","Participant","Intercept","IllusionGameEEG_sub-37",0.443953775,0,0.026863425,"gam_ddm4_muller"
"180","z_1[1,66]","Participant","Intercept","IllusionGameEEG_sub-38",0.443953775,0,0.026863425,"gam_ddm4_muller"
"181","z_1[1,67]","Participant","Intercept","IllusionGameEEG_sub-39",0.443953775,0,0.026863425,"gam_ddm4_muller"
"182","z_1[1,68]","Participant","Intercept","IllusionGameEEG_sub-4",0.443953775,0,0.026863425,"gam_ddm4_muller"
"183","z_1[1,69]","Participant","Intercept","IllusionGameEEG_sub-40",0.443953775,0,0.026863425,"gam_ddm4_muller"
"184","z_1[1,70]","Participant","Intercept","IllusionGameEEG_sub-41",0.443953775,0,0.026863425,"gam_ddm4_muller"
"185","z_1[1,71]","Participant","Intercept","IllusionGameEEG_sub-42",0.443953775,0,0.026863425,"gam_ddm4_muller"
"186","z_1[1,72]","Participant","Intercept","IllusionGameEEG_sub-43",0.443953775,0,0.026863425,"gam_ddm4_muller"
"187","z_1[1,73]","Participant","Intercept","IllusionGameEEG_sub-44",0.443953775,0,0.026863425,"gam_ddm4_muller"
"188","z_1[1,74]","Participant","Intercept","IllusionGameEEG_sub-45",0.443953775,0,0.026863425,"gam_ddm4_muller"
"189","z_1[1,75]","Participant","Intercept","IllusionGameEEG_sub-46",0.443953775,0,0.026863425,"gam_ddm4_muller"
"190","z_1[1,76]","Participant","Intercept","IllusionGameEEG_sub-47",0.443953775,0,0.026863425,"gam_ddm4_muller"
"191","z_1[1,77]","Participant","Intercept","IllusionGameEEG_sub-48",0.443953775,0,0.026863425,"gam_ddm4_muller"
"192","z_1[1,78]","Participant","Intercept","IllusionGameEEG_sub-49",0.443953775,0,0.026863425,"gam_ddm4_muller"
"193","z_1[1,79]","Participant","Intercept","IllusionGameEEG_sub-5",0.443953775,0,0.026863425,"gam_ddm4_muller"
"194","z_1[1,80]","Participant","Intercept","IllusionGameEEG_sub-50",0.443953775,0,0.026863425,"gam_ddm4_muller"
"195","z_1[1,81]","Participant","Intercept","IllusionGameEEG_sub-51",0.443953775,0,0.026863425,"gam_ddm4_muller"
"196","z_1[1,82]","Participant","Intercept","IllusionGameEEG_sub-52",0.443953775,0,0.026863425,"gam_ddm4_muller"
"197","z_1[1,83]","Participant","Intercept","IllusionGameEEG_sub-53",0.443953775,0,0.026863425,"gam_ddm4_muller"
"198","z_1[1,84]","Participant","Intercept","IllusionGameEEG_sub-54",0.443953775,0,0.026863425,"gam_ddm4_muller"
"199","z_1[1,85]","Participant","Intercept","IllusionGameEEG_sub-55",0.443953775,0,0.026863425,"gam_ddm4_muller"
"200","z_1[1,86]","Participant","Intercept","IllusionGameEEG_sub-56",0.443953775,0,0.026863425,"gam_ddm4_muller"
"201","z_1[1,87]","Participant","Intercept","IllusionGameEEG_sub-57",0.443953775,0,0.026863425,"gam_ddm4_muller"
"202","z_1[1,88]","Participant","Intercept","IllusionGameEEG_sub-58",0.443953775,0,0.026863425,"gam_ddm4_muller"
"203","z_1[1,89]","Participant","Intercept","IllusionGameEEG_sub-59",0.443953775,0,0.026863425,"gam_ddm4_muller"
"204","z_1[1,90]","Participant","Intercept","IllusionGameEEG_sub-6",0.443953775,0,0.026863425,"gam_ddm4_muller"
"205","z_1[1,91]","Participant","Intercept","IllusionGameEEG_sub-60",0.443953775,0,0.026863425,"gam_ddm4_muller"
"206","z_1[1,92]","Participant","Intercept","IllusionGameEEG_sub-61",0.443953775,0,0.026863425,"gam_ddm4_muller"
"207","z_1[1,93]","Participant","Intercept","IllusionGameEEG_sub-62",0.443953775,0,0.026863425,"gam_ddm4_muller"
"208","z_1[1,94]","Participant","Intercept","IllusionGameEEG_sub-63",0.443953775,0,0.026863425,"gam_ddm4_muller"
